name,isDirect,isFixed
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.configuration.mgt.core,false,true
org.apereo.cas:cas-server-core-webflow-mfa-api,true,true
org.apache.flink:flink-rpc-core,true,false
de.alpharogroup:xml-extensions,true,true
org.apache.flink:flink-table-planner_2.11,true,true
org.apache.hive.hcatalog:hive-hcatalog-server-extensions,false,false
org.apache.flink:flink-rpc-akka-loader,true,true
org.apache.flink:flink-table-planner-blink_2.11,true,false
org.infinispan:infinispan-clustered-lock,true,false
org.apache.daffodil:daffodil-lib_2.12,true,false
org.daisy.pipeline:saxon-adapter,false,false
de.alpharogroup:resourcebundle-inspector,true,true
org.mule.modules:mule-module-jersey,false,false
org.wso2.carbon.identity.governance:org.wso2.carbon.identity.recovery,false,false
org.mule.transports:mule-transport-sftp,false,false
org.apache.daffodil:daffodil-io_2.12,true,false
org.apache.flink:flink-table-api-scala_2.11,true,true
com.linkedin.pegasus:degrader,false,false
org.apache.jmeter:ApacheJMeter_jms,false,false
org.mule.patterns:mule-pattern-core,false,false
org.apache.jmeter:ApacheJMeter_junit,false,false
org.apache.daffodil:daffodil-runtime1_2.12,true,false
org.kie.workbench.services:kie-wb-common-datamodel-backend,false,true
com.linkedin.pegasus:d2,false,false
org.apache.jmeter:ApacheJMeter_ftp,false,false
org.openimaj:core,true,false
org.daisy.pipeline.modules:common-utils,false,false
org.codelibs:elasticsearch-cluster-runner,true,false
org.apache.jmeter:ApacheJMeter_mail,false,false
org.apache.jmeter:ApacheJMeter_ldap,false,false
org.mule.modules:mule-module-boot,false,false
org.mule.services:mule-service-scheduler,false,false
org.infinispan:infinispan-server-core,true,false
com.linkedin.pegasus:entity-stream,false,false
com.linkedin.pegasus:d2-schemas,false,false
org.apache.daffodil:daffodil-runtime1-unparser_2.12,true,false
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.consent.mgt,false,true
de.alpharogroup:vintage-time,true,true
org.apache.flink:flink-avro,true,false
org.apache.daffodil:daffodil-core_2.12,true,false
org.mule.modules:mule-module-jbossts,false,false
org.apache.daffodil:daffodil-core_2.12,true,false
org.mule.modules:mule-module-jbossts,false,false
